port_label,quarter_label,index_label,MissingValue
"Algeria, Annaba",Q3 2022,52.35,
"Algeria, Annaba",Q4 2022,52.35,
"Algeria, Annaba",Q1 2023,52.32,
"Algeria, Annaba",Q2 2023,52.97,
"Algeria, Annaba",Q3 2023,54.41,
"Algeria, Annaba",Q4 2023,54.21,
"Algeria, Annaba",Q1 2024,55.97,
"Algeria, Annaba",Q2 2024,55.96,
"Algeria, Annaba",Q3 2024,57.89,
"Algeria, Annaba",Q4 2024,51.58,
"Algeria, Annaba",Q1 2025,57.68,
"Algeria, Arzew",Q1 2006,9.67,
"Algeria, Arzew",Q2 2006,9.67,
"Algeria, Arzew",Q3 2006,9.67,
"Algeria, Arzew",Q4 2006,9.67,
"Algeria, Arzew",Q1 2007,9.67,
"Algeria, Arzew",Q2 2007,9.67,
"Algeria, Arzew",Q3 2007,9.67,
"Algeria, Arzew",Q4 2007,9.67,
"Algeria, Arzew",Q1 2016,13.54,
"Algeria, Arzew",Q2 2016,11.63,
"Algeria, Arzew",Q3 2016,11.63,
"Algeria, Arzew",Q4 2016,11.65,
"Algeria, Arzew",Q1 2017,11.66,
"Algeria, Arzew",Q2 2017,13.37,
"Algeria, Arzew",Q3 2017,13.9,
"Algeria, Arzew",Q4 2017,13.9,
"Algeria, Arzew",Q1 2018,13.9,
"Algeria, Arzew",Q2 2018,13.9,
"Algeria, Arzew",Q3 2018,14.53,
"Algeria, Arzew",Q4 2018,21.48,
"Algeria, Arzew",Q1 2019,22.11,
"Algeria, Arzew",Q2 2019,22.11,
"Algeria, Arzew",Q3 2019,22.11,
"Algeria, Arzew",Q4 2019,22.11,
"Algeria, Arzew",Q1 2020,12.26,
"Algeria, Arzew",Q2 2020,12.43,
"Algeria, Arzew",Q4 2020,10.35,
"Algeria, Arzew",Q4 2024,9.83,
"Algeria, Arzew",Q1 2025,9.83,
"Algeria, Bejaia",Q1 2006,58.08,
"Algeria, Bejaia",Q2 2006,60.86,
"Algeria, Bejaia",Q3 2006,56.83,
"Algeria, Bejaia",Q4 2006,52.88,
"Algeria, Bejaia",Q1 2007,48.38,
"Algeria, Bejaia",Q2 2007,52.49,
"Algeria, Bejaia",Q3 2007,47.75,
"Algeria, Bejaia",Q4 2007,53.48,
"Algeria, Bejaia",Q1 2008,56.56,
"Algeria, Bejaia",Q2 2008,48.78,
"Algeria, Bejaia",Q3 2008,41.51,
"Algeria, Bejaia",Q4 2008,46.45,
"Algeria, Bejaia",Q1 2009,46.45,
"Algeria, Bejaia",Q2 2009,40.42,
"Algeria, Bejaia",Q3 2009,42.12,
"Algeria, Bejaia",Q4 2009,42.11,
"Algeria, Bejaia",Q1 2010,48.24,
"Algeria, Bejaia",Q2 2010,38.17,
"Algeria, Bejaia",Q3 2010,49.43,
"Algeria, Bejaia",Q4 2010,44.21,
"Algeria, Bejaia",Q1 2011,49.48,
"Algeria, Bejaia",Q2 2011,49.44,
"Algeria, Bejaia",Q3 2011,43.27,
"Algeria, Bejaia",Q4 2011,36.48,
"Algeria, Bejaia",Q1 2012,30.73,
"Algeria, Bejaia",Q2 2012,36.06,
"Algeria, Bejaia",Q3 2012,41.87,
"Algeria, Bejaia",Q4 2012,43.5,
"Algeria, Bejaia",Q1 2013,58.41,
"Algeria, Bejaia",Q2 2013,65.12,
"Algeria, Bejaia",Q3 2013,66.21,
"Algeria, Bejaia",Q4 2013,55.8,
"Algeria, Bejaia",Q1 2014,55.17,
"Algeria, Bejaia",Q2 2014,51.73,
"Algeria, Bejaia",Q3 2014,48.81,
"Algeria, Bejaia",Q4 2014,44.29,
"Algeria, Bejaia",Q1 2015,42.86,
"Algeria, Bejaia",Q2 2015,35.7,
"Algeria, Bejaia",Q3 2015,35.7,
"Algeria, Bejaia",Q4 2015,38.54,
"Algeria, Bejaia",Q1 2016,38.14,
"Algeria, Bejaia",Q2 2016,38.9,
"Algeria, Bejaia",Q3 2016,38.88,
"Algeria, Bejaia",Q4 2016,41.74,
"Algeria, Bejaia",Q1 2017,37.17,
"Algeria, Bejaia",Q2 2017,37.17,
"Algeria, Bejaia",Q3 2017,36.94,
"Algeria, Bejaia",Q4 2017,49.4,
"Algeria, Bejaia",Q1 2018,49.25,
"Algeria, Bejaia",Q2 2018,58.96,
"Algeria, Bejaia",Q3 2018,58.31,
"Algeria, Bejaia",Q4 2018,54.95,
"Algeria, Bejaia",Q1 2019,51.53,
"Algeria, Bejaia",Q2 2019,52.16,
"Algeria, Bejaia",Q3 2019,51.51,
"Algeria, Bejaia",Q4 2019,51.95,
"Algeria, Bejaia",Q1 2020,53.47,
"Algeria, Bejaia",Q2 2020,45.18,
"Algeria, Bejaia",Q3 2020,48.86,
"Algeria, Bejaia",Q4 2020,48.64,
"Algeria, Bejaia",Q1 2021,49.39,
"Algeria, Bejaia",Q2 2021,49.35,
"Algeria, Bejaia",Q3 2021,48.84,
"Algeria, Bejaia",Q4 2021,47.46,
"Algeria, Bejaia",Q1 2022,47.44,
"Algeria, Bejaia",Q2 2022,47.04,
"Algeria, Bejaia",Q3 2022,53.17,
"Algeria, Bejaia",Q4 2022,54.34,
"Algeria, Bejaia",Q1 2023,57.7,
"Algeria, Bejaia",Q2 2023,54.95,
"Algeria, Bejaia",Q3 2023,42.46,
"Algeria, Bejaia",Q4 2023,41.88,
"Algeria, Bejaia",Q1 2024,41.94,
"Algeria, Bejaia",Q2 2024,42.62,
"Algeria, Bejaia",Q3 2024,42.98,
"Algeria, Bejaia",Q4 2024,42.99,
"Algeria, Bejaia",Q1 2025,43.02,
"Algeria, Djen Djen",Q4 2013,10.84,
"Algeria, Djen Djen",Q1 2014,21.71,
"Algeria, Djen Djen",Q2 2014,21.71,
"Algeria, Djen Djen",Q3 2014,21.08,
"Algeria, Djen Djen",Q4 2014,21.53,
"Algeria, Djen Djen",Q1 2015,21.53,
"Algeria, Djen Djen",Q2 2015,21.53,
"Algeria, Djen Djen",Q3 2015,12.45,
"Algeria, Djen Djen",Q4 2015,12.45,
"Algeria, Djen Djen",Q1 2016,12.45,
"Algeria, Djen Djen",Q4 2018,10.32,
"Algeria, Djen Djen",Q1 2019,10.32,
"Algeria, Djen Djen",Q2 2019,10.32,
"Algeria, Djen Djen",Q3 2019,10.32,
"Algeria, Djen Djen",Q4 2019,10.32,
"Algeria, Djen Djen",Q3 2023,15.32,
"Algeria, Djen Djen",Q4 2023,17.55,
"Algeria, Djen Djen",Q2 2024,13.34,
"Algeria, Djen Djen",Q3 2024,18.8,
"Algeria, Djen Djen",Q4 2024,18.72,
"Algeria, Djen Djen",Q1 2025,18.68,
"Algeria, Ghazaouet",Q3 2007,16.19,
"Algeria, Ghazaouet",Q4 2007,12.87,
"Algeria, Ghazaouet",Q1 2008,12.87,
"Algeria, Ghazaouet",Q2 2008,15.67,
"Algeria, Ghazaouet",Q3 2008,11.03,
"Algeria, Ghazaouet",Q4 2008,13.43,
"Algeria, Ghazaouet",Q1 2009,13.43,
"Algeria, Ghazaouet",Q2 2009,7.53,
"Algeria, Ghazaouet",Q3 2009,7.53,
"Algeria, Ghazaouet",Q4 2009,7.53,
"Algeria, Ghazaouet",Q1 2010,7.53,
"Algeria, Ghazaouet",Q2 2010,7.53,
"Algeria, Ghazaouet",Q4 2010,13.99,
"Algeria, Ghazaouet",Q1 2011,13.99,
"Algeria, Ghazaouet",Q2 2011,13.99,
"Algeria, Ghazaouet",Q3 2011,8.41,
"Algeria, Ghazaouet",Q4 2011,9.05,
"Algeria, Ghazaouet",Q1 2012,11.8,
"Algeria, Ghazaouet",Q2 2012,18.92,
"Algeria, Ghazaouet",Q3 2012,18.92,
"Algeria, Ghazaouet",Q4 2012,18.92,
"Algeria, Ghazaouet",Q1 2013,17.78,
"Algeria, Ghazaouet",Q2 2013,10.89,
"Algeria, Ghazaouet",Q3 2013,10.85,
"Algeria, Ghazaouet",Q4 2013,10.89,
"Algeria, Ghazaouet",Q1 2014,10.44,
"Algeria, Ghazaouet",Q2 2014,10.89,
"Algeria, Ghazaouet",Q3 2014,10.89,
"Algeria, Ghazaouet",Q4 2014,11.55,
"Algeria, Ghazaouet",Q1 2015,11.55,
"Algeria, Ghazaouet",Q2 2015,11.55,
"Algeria, Ghazaouet",Q3 2015,11.5,
"Algeria, Ghazaouet",Q4 2015,18.64,
"Algeria, Ghazaouet",Q1 2016,18.67,
"Algeria, Ghazaouet",Q2 2016,18.67,
"Algeria, Ghazaouet",Q3 2016,16.6,
"Algeria, Ghazaouet",Q4 2016,19.52,
"Algeria, Ghazaouet",Q1 2017,19.28,
"Algeria, Ghazaouet",Q2 2017,19.28,
"Algeria, Ghazaouet",Q3 2017,21.99,
"Algeria, Ghazaouet",Q4 2017,21.87,
"Algeria, Ghazaouet",Q1 2018,21.87,
"Algeria, Ghazaouet",Q2 2018,21.87,
"Algeria, Ghazaouet",Q3 2018,14.09,
"Algeria, Ghazaouet",Q4 2018,14.05,
"Algeria, Ghazaouet",Q3 2019,14.09,
"Algeria, Ghazaouet",Q4 2019,14.02,
"Algeria, Ghazaouet",Q1 2020,13.46,
"Algeria, Ghazaouet",Q2 2020,13.46,
"Algeria, Ghazaouet",Q3 2020,12.77,
"Algeria, Ghazaouet",Q4 2020,13.52,
"Algeria, Ghazaouet",Q1 2021,21.09,
"Algeria, Ghazaouet",Q2 2021,21.09,
"Algeria, Ghazaouet",Q3 2021,13.45,
"Algeria, Ghazaouet",Q4 2021,15.87,
"Algeria, Ghazaouet",Q1 2022,15.26,
"Algeria, Ghazaouet",Q2 2022,15.26,
"Algeria, Ghazaouet",Q3 2022,15.24,
"Algeria, Ghazaouet",Q4 2022,15.24,
"Algeria, Ghazaouet",Q1 2023,13.56,
"Algeria, Ghazaouet",Q2 2023,13.45,
"Algeria, Ghazaouet",Q3 2023,13.24,
"Algeria, Ghazaouet",Q4 2023,13.24,
"Algeria, Ghazaouet",Q1 2024,10.72,
"Algeria, Ghazaouet",Q2 2024,10.72,
"Algeria, Ghazaouet",Q3 2024,10.72,
"Algeria, Ghazaouet",Q4 2024,10.72,
"Algeria, Ghazaouet",Q1 2025,10.72,
"Algeria, Mostaganem",Q1 2006,48.12,
"Algeria, Mostaganem",Q2 2006,48.12,
"Algeria, Mostaganem",Q3 2006,48.12,
"Algeria, Mostaganem",Q4 2006,47.32,
"Algeria, Mostaganem",Q1 2007,26.51,
"Algeria, Mostaganem",Q2 2007,26.48,
"Algeria, Mostaganem",Q3 2007,27.69,
"Algeria, Mostaganem",Q4 2007,26.48,
"Algeria, Mostaganem",Q1 2008,34.3,
"Algeria, Mostaganem",Q2 2008,32.03,
"Algeria, Mostaganem",Q3 2008,24.3,
"Algeria, Mostaganem",Q4 2008,20.57,
"Algeria, Mostaganem",Q1 2009,20.57,
"Algeria, Mostaganem",Q2 2009,12.98,
"Algeria, Mostaganem",Q3 2009,12.98,
"Algeria, Mostaganem",Q4 2009,12.98,
"Algeria, Mostaganem",Q1 2010,12.98,
"Algeria, Mostaganem",Q2 2010,12.98,
"Algeria, Mostaganem",Q3 2010,12.98,
"Algeria, Mostaganem",Q4 2010,12.98,
"Algeria, Mostaganem",Q1 2011,12.98,
"Algeria, Mostaganem",Q2 2011,12.37,
"Algeria, Mostaganem",Q3 2011,12.37,
"Algeria, Mostaganem",Q4 2011,12.37,
"Algeria, Mostaganem",Q1 2012,12.37,
"Algeria, Mostaganem",Q4 2014,10.04,
"Algeria, Mostaganem",Q1 2015,10.04,
"Algeria, Mostaganem",Q2 2015,10.04,
"Algeria, Mostaganem",Q3 2015,10.04,
"Algeria, Mostaganem",Q4 2015,10.04,
"Algeria, Mostaganem",Q1 2016,10.04,
"Algeria, Mostaganem",Q2 2016,11.95,
"Algeria, Mostaganem",Q3 2016,11.95,
"Algeria, Mostaganem",Q4 2016,11.95,
"Algeria, Mostaganem",Q1 2017,11.95,
"Algeria, Mostaganem",Q2 2017,11.95,
"Algeria, Mostaganem",Q3 2017,11.95,
"Algeria, Mostaganem",Q4 2017,11.95,
"Algeria, Mostaganem",Q1 2018,11.95,
"Algeria, Mostaganem",Q2 2018,11.95,
"Algeria, Mostaganem",Q3 2018,11.95,
"Algeria, Mostaganem",Q4 2018,11.95,
"Algeria, Mostaganem",Q1 2019,11.95,
"Algeria, Mostaganem",Q2 2019,11.95,
"Algeria, Mostaganem",Q3 2019,11.95,
"Algeria, Mostaganem",Q4 2019,11.95,
"Algeria, Mostaganem",Q1 2020,11.95,
"Algeria, Mostaganem",Q2 2020,11.95,
"Algeria, Mostaganem",Q4 2020,11.79,
"Algeria, Mostaganem",Q1 2021,11.79,
"Algeria, Mostaganem",Q2 2021,11.79,
"Algeria, Mostaganem",Q3 2021,18.27,
"Algeria, Mostaganem",Q4 2021,28.14,
"Algeria, Mostaganem",Q1 2022,18.27,
"Algeria, Mostaganem",Q2 2022,18.27,
"Algeria, Mostaganem",Q3 2022,20.01,
"Algeria, Mostaganem",Q4 2022,20.01,
"Algeria, Mostaganem",Q1 2023,9.92,
"Algeria, Mostaganem",Q2 2023,9.92,
"Algeria, Mostaganem",Q3 2023,19.68,
"Algeria, Mostaganem",Q4 2023,19.61,
"Algeria, Mostaganem",Q1 2024,19.73,
"Algeria, Mostaganem",Q2 2024,19.09,
"Algeria, Mostaganem",Q3 2024,24.23,
"Algeria, Mostaganem",Q4 2024,19.09,
"Algeria, Mostaganem",Q1 2025,19.09,
"Algeria, Oran",Q1 2006,79.67,
"Algeria, Oran",Q2 2006,74.51,
"Algeria, Oran",Q3 2006,81.82,
"Algeria, Oran",Q4 2006,82.45,
"Algeria, Oran",Q1 2007,79.29,
"Algeria, Oran",Q2 2007,84.47,
"Algeria, Oran",Q3 2007,78.96,
"Algeria, Oran",Q4 2007,78.45,
"Algeria, Oran",Q1 2008,79,
"Algeria, Oran",Q2 2008,93.56,
"Algeria, Oran",Q3 2008,84.88,
"Algeria, Oran",Q4 2008,87.1,
"Algeria, Oran",Q1 2009,84,
"Algeria, Oran",Q2 2009,68.52,
"Algeria, Oran",Q3 2009,74.73,
"Algeria, Oran",Q4 2009,69.75,
"Algeria, Oran",Q1 2010,77.1,
"Algeria, Oran",Q2 2010,71.4,
"Algeria, Oran",Q3 2010,67.65,
"Algeria, Oran",Q4 2010,65.09,
"Algeria, Oran",Q1 2011,75.09,
"Algeria, Oran",Q2 2011,85.34,
"Algeria, Oran",Q3 2011,64.67,
"Algeria, Oran",Q4 2011,64.67,
"Algeria, Oran",Q1 2012,65.67,
"Algeria, Oran",Q2 2012,74.22,
"Algeria, Oran",Q3 2012,68.61,
"Algeria, Oran",Q4 2012,68.9,
"Algeria, Oran",Q1 2013,72.4,
"Algeria, Oran",Q2 2013,68.96,
"Algeria, Oran",Q3 2013,64.71,
"Algeria, Oran",Q4 2013,64.75,
"Algeria, Oran",Q1 2014,63.65,
"Algeria, Oran",Q2 2014,58.41,
"Algeria, Oran",Q3 2014,69.81,
"Algeria, Oran",Q4 2014,62.79,
"Algeria, Oran",Q1 2015,77.18,
"Algeria, Oran",Q2 2015,90.75,
"Algeria, Oran",Q3 2015,83.78,
"Algeria, Oran",Q4 2015,77.82,
"Algeria, Oran",Q1 2016,85.83,
"Algeria, Oran",Q2 2016,88.61,
"Algeria, Oran",Q3 2016,94.58,
"Algeria, Oran",Q4 2016,87.56,
"Algeria, Oran",Q1 2017,86.36,
"Algeria, Oran",Q2 2017,68.8,
"Algeria, Oran",Q3 2017,55.12,
"Algeria, Oran",Q4 2017,57.26,
"Algeria, Oran",Q1 2018,57.47,
"Algeria, Oran",Q2 2018,56.36,
"Algeria, Oran",Q3 2018,56.45,
"Algeria, Oran",Q4 2018,65.11,
"Algeria, Oran",Q1 2019,65.09,
"Algeria, Oran",Q2 2019,65.11,
"Algeria, Oran",Q3 2019,63.97,
"Algeria, Oran",Q4 2019,64,
"Algeria, Oran",Q1 2020,54.52,
"Algeria, Oran",Q2 2020,54.52,
"Algeria, Oran",Q3 2020,55.33,
"Algeria, Oran",Q4 2020,55.29,
"Algeria, Oran",Q1 2021,57.17,
"Algeria, Oran",Q2 2021,57.13,
